sha,commit_date,author_login,is_owner,file_path,directory,file_extension,additions,deletions,net_change
444b020ca1804271570f20e0aa26918ad206f5f5,2026-01-15 03:31:52+00:00,github-actions[bot],False,docs/components.json,docs,json,865,865,0
444b020ca1804271570f20e0aa26918ad206f5f5,2026-01-15 03:31:52+00:00,github-actions[bot],False,docs/trending-data.json,docs,json,536,536,0
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/SKILL.md,cli-tool,md,209,0,209
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/react-performance-guidelines.md,cli-tool,md,1865,0,1865
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/_sections.md,cli-tool,md,46,0,46
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/_template.md,cli-tool,md,28,0,28
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/advanced-event-handler-refs.md,cli-tool,md,38,0,38
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/advanced-use-latest.md,cli-tool,md,49,0,49
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/async-api-routes.md,cli-tool,md,38,0,38
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/async-defer-await.md,cli-tool,md,80,0,80
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/async-dependencies.md,cli-tool,md,36,0,36
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/async-parallel.md,cli-tool,md,28,0,28
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/async-suspense-boundaries.md,cli-tool,md,66,0,66
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/bundle-barrel-imports.md,cli-tool,md,59,0,59
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/bundle-conditional.md,cli-tool,md,31,0,31
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/bundle-defer-third-party.md,cli-tool,md,49,0,49
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/bundle-dynamic-imports.md,cli-tool,md,35,0,35
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/bundle-preload.md,cli-tool,md,50,0,50
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/client-event-listeners.md,cli-tool,md,74,0,74
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/client-swr-dedup.md,cli-tool,md,56,0,56
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/download_rules.sh,cli-tool,sh,63,0,63
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/js-batch-dom-css.md,cli-tool,md,82,0,82
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/js-cache-function-results.md,cli-tool,md,80,0,80
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/js-cache-property-access.md,cli-tool,md,28,0,28
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/js-cache-storage.md,cli-tool,md,68,0,68
270d0af7def65b8e36b960c20d70e70e98e7808a,2026-01-15 01:58:56+00:00,davila7,True,cli-tool/components/skills/web-development/react-best-practices/references/rules/js-combine-iterations.md,cli-tool,md,32,0,32
