fork_owner,fork_url,owner_type,created_at,pushed_at,size,stars,forks_of_fork,open_issues,has_homepage,is_archived
oimamoglu,https://github.com/oimamoglu/claude-code-templates,User,2026-01-15T23:58:42Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
MrFabioArias,https://github.com/MrFabioArias/claude-code-templates,User,2026-01-15T23:38:00Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
CasteSan,https://github.com/CasteSan/claude-code-templates,User,2026-01-15T22:40:43Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
diegopazosrego,https://github.com/diegopazosrego/claude-code-templates,User,2026-01-15T22:18:13Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
Bravecold,https://github.com/Bravecold/claude-code-templates,User,2026-01-15T21:43:45Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
EdieAprovita,https://github.com/EdieAprovita/claude-code-templates,User,2026-01-15T20:22:41Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
Jean-Paul-Lesein,https://github.com/Jean-Paul-Lesein/claude-code-templates,User,2026-01-15T20:01:44Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
Axotla,https://github.com/Axotla/claude-code-templates,User,2026-01-15T19:49:50Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
LeeGilbert,https://github.com/LeeGilbert/claude-code-templates,User,2026-01-15T18:33:10Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
Hesk123,https://github.com/Hesk123/claude-code-templates,User,2026-01-15T18:27:16Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
jrbeltre,https://github.com/jrbeltre/claude-code-templates,User,2026-01-15T17:46:22Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
Kafevisa,https://github.com/Kafevisa/claude-code-templates,User,2026-01-15T17:02:34Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
siliconbayou,https://github.com/siliconbayou/claude-code-templates,User,2026-01-15T16:12:33Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
maxxrequena,https://github.com/maxxrequena/claude-code-templates,User,2026-01-15T16:05:54Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
T-Raytheon,https://github.com/T-Raytheon/claude-code-templates,User,2026-01-15T13:44:22Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
ndysw,https://github.com/ndysw/claude-code-templates,User,2026-01-15T12:52:52Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
Pigowenhsiao,https://github.com/Pigowenhsiao/claude-code-templates,User,2026-01-15T12:12:46Z,2026-01-15T04:58:05Z,47761,0,0,0,True,False
